#,ST,Date,Bully,Home,Away
1,1,"Fri, Sep 16, 2022",19.30,Grizzlys Wolfsburg (GER),Löwen Frankfurt (GER)
2,2,"Wed, Sep 21, 2022",19.30,Kölner Haie (GER),Grizzlys Wolfsburg (GER)
3,3,"Fri, Sep 23, 2022",19.30,Eisbären Berlin (GER),Grizzlys Wolfsburg (GER)
4,4,"Sun, Sep 25, 2022",16.30,Grizzlys Wolfsburg (GER),Nürnberg Ice Tigers (GER)
5,5,"Tue, Sep 27, 2022",19.30,Grizzlys Wolfsburg (GER),Augsburger Panther (GER)
6,7,"Sun, Oct 02, 2022",14.00,Iserlohn Roosters (GER),Grizzlys Wolfsburg (GER)
7,8,"Fri, Oct 07, 2022",19.30,Pinguins Bremerhaven (GER)Grizzlys Wolfsburg (GER),"8. 9 Sun, Oct 09, 2022 14.00 Grizzlys Wolfsburg (GER)"
9,10,"Fri, Oct 14, 2022",19.30,Straubing Tigers (GER),Grizzlys Wolfsburg (GER)
10,11,"Sun, Oct 16, 2022",19.00,Grizzlys Wolfsburg (GER),Schwenninger Wild Wings (GER)
11,13,"Thu, Oct 20, 2022",19.30,Augsburger Panther (GER),Grizzlys Wolfsburg (GER)
12,14,"Sun, Oct 23, 2022",14.00,Grizzlys Wolfsburg (GER),Pinguins Bremerhaven (GER)
13,15,"Wed, Oct 26, 2022",19.30,Kölner Haie (GER),Grizzlys Wolfsburg (GER)
14,16,"Fri, Oct 28, 2022",19.30,Iserlohn Roosters (GER),Grizzlys Wolfsburg (GER)
15,17,"Sun, Oct 30, 2022",16.30,Grizzlys Wolfsburg (GER),SC Bietigheim Steelers (GER)
16,18,"Wed, Nov 02, 2022",19.30,Düsseldorfer EG (GER),Grizzlys Wolfsburg (GER)
17,19,"Fri, Nov 04, 2022",19.30,Grizzlys Wolfsburg (GER),Löwen Frankfurt (GER)
18,20,"Sun, Nov 06, 2022",14.00,Pinguins Bremerhaven (GER)Grizzlys Wolfsburg (GER),"19. 21 Fri, Nov 18, 2022 19.30 Grizzlys Wolfsburg (GER)"
20,22,"Sun, Nov 20, 2022",14.00,Nürnberg Ice Tigers (GER),Grizzlys Wolfsburg (GER)
21,12,"Wed, Nov 23, 2022",19.30,Grizzlys Wolfsburg (GER),Nürnberg Ice Tigers (GER)
22,23,"Fri, Nov 25, 2022",19.30,Grizzlys Wolfsburg (GER),Iserlohn Roosters (GER)
23,24,"Sun, Nov 27, 2022",16.30,Adler Mannheim (GER),Grizzlys Wolfsburg (GER)
24,25,"Tue, Nov 29, 2022",19.30,ERC Ingolstadt (GER),Grizzlys Wolfsburg (GER)
25,26,"Fri, Dec 02, 2022",19.30,Grizzlys Wolfsburg (GER),SC Bietigheim Steelers (GER)
26,27,"Sun, Dec 04, 2022",14.00,Straubing Tigers (GER),Grizzlys Wolfsburg (GER)
27,28,"Thu, Dec 08, 2022",19.30,Grizzlys Wolfsburg (GER),EHC Red Bull München (GER)
28,29,"Sun, Dec 11, 2022",14.00,Nürnberg Ice Tigers (GER),Grizzlys Wolfsburg (GER)
29,30,"Tue, Dec 13, 2022",19.30,Grizzlys Wolfsburg (GER),Schwenninger Wild Wings (GER)
30,31,"Thu, Dec 15, 2022",19.30,Löwen Frankfurt (GER),Grizzlys Wolfsburg (GER)
31,32,"Sun, Dec 18, 2022",16.30,Grizzlys Wolfsburg (GER),Adler Mannheim (GER)
32,33,"Wed, Dec 21, 2022",19.30,Grizzlys Wolfsburg (GER),Eisbären Berlin (GER)
33,34,"Fri, Dec 23, 2022",19.30,Düsseldorfer EG (GER),Grizzlys Wolfsburg (GER)
34,35,"Mon, Dec 26, 2022",16.30,Grizzlys Wolfsburg (GER),Kölner Haie (GER)
35,36,"Wed, Dec 28, 2022",19.30,Grizzlys Wolfsburg (GER),ERC Ingolstadt (GER)
36,37,"Fri, Dec 30, 2022",19.30,EHC Red Bull München (GER)Grizzlys Wolfsburg (GER),"37. 38 Mon, Jan 02, 2023 19.30 Grizzlys Wolfsburg (GER)"
38,39,"Wed, Jan 04, 2023",19.30,Schwenninger Wild Wings (GEGRri)zzlys Wolfsburg (GER),"39. 41 Sun, Jan 08, 2023 16.30 Grizzlys Wolfsburg (GER)"
40,42,"Fri, Jan 13, 2023",19.30,SC Bietigheim Steelers (GER)Grizzlys Wolfsburg (GER),"41. 43 Sun, Jan 15, 2023 14.00 Grizzlys Wolfsburg (GER)"
42,44,"Fri, Jan 20, 2023",19.30,Grizzlys Wolfsburg (GER),Straubing Tigers (GER)
43,45,"Sun, Jan 22, 2023",14.00,Eisbären Berlin (GER),Grizzlys Wolfsburg (GER)
44,46,"Tue, Jan 24, 2023",19.30,Adler Mannheim (GER),Grizzlys Wolfsburg (GER)
45,47,"Fri, Jan 27, 2023",19.30,Grizzlys Wolfsburg (GER),ERC Ingolstadt (GER)
46,49,"Fri, Feb 03, 2023",19.30,Grizzlys Wolfsburg (GER),Kölner Haie (GER)
47,50,"Sun, Feb 05, 2023",tba,Löwen Frankfurt (GER),Grizzlys Wolfsburg (GER)
48,51,"Sun, Feb 12, 2023",14.00,Augsburger Panther (GER),Grizzlys Wolfsburg (GER)
49,52,"Wed, Feb 15, 2023",19.30,Grizzlys Wolfsburg (GER),Düsseldorfer EG (GER)
50,53,"Fri, Feb 17, 2023",19.30,EHC Red Bull München (GER)Grizzlys Wolfsburg (GER),"51. 54 Sun, Feb 19, 2023 14.00 Grizzlys Wolfsburg (GER)"
52,55,"Wed, Feb 22, 2023",19.30,SC Bietigheim Steelers (GER)Grizzlys Wolfsburg (GER),"53. 56 Fri, Feb 24, 2023 19.30 Schwenninger Wild Wings (GEGRri)zzlys Wolfsburg (GER)"
54,57,"Sun, Feb 26, 2023",16.30,Grizzlys Wolfsburg (GER),Adler Mannheim (GER)
55,59,"Fri, Mar 03, 2023",19.30,Grizzlys Wolfsburg (GER),Düsseldorfer EG (GER)
56,60,"Sun, Mar 05, 2023",14.00,ERC Ingolstadt (GER),Grizzlys Wolfsburg (GER)
