Tag,Anzahl Tickets,Gesamteinnahmen brutto,Season
15.09.2023,1624,31208.50,23-24
22.09.2023,1127,21390.00,23-24
01.10.2023,1906,35212.50,23-24
06.10.2023,1429,30103.50,23-24
08.10.2023,2412,57645.59,23-24
15.10.2023,1202,22888.00,23-24
20.10.2023,1677,37088.00,23-24
29.10.2023,1910,28302.50,23-24
05.11.2023,1642,28977.50,23-24
16.11.2023,1161,23914.00,23-24
01.12.2023,1547,30982.50,23-24
10.12.2023,2324,54003.76,23-24
15.12.2023,1297,29694.50,23-24
17.12.2023,1233,25545.76,23-24
23.12.2023,2524,57317.00,23-24
28.12.2023,2790,63248.09,23-24
07.01.2024,2375,41548.50,23-24
14.01.2024,1117,25706.50,23-24
19.01.2024,1397,25344.50,23-24
26.01.2024,2432,61437.00,23-24
02.02.2024,1455,30981.50,23-24
04.02.2024,1825,39458.76,23-24
18.02.2024,2755,61270.00,23-24
21.02.2024,1849,32187.50,23-24
01.03.2024,2600,56451.02,23-24
03.03.2024,2183,46467.76,23-24
16.03.2024,3348,84209.57,23-24
22.03.2024,3591,89120.51,23-24
