SPIELTAG,DATUM,UHRZEIT,SPIELPAARUNG
1,"Freitag, 15.09.23",19.30 Uhr,Grizzlys vs. Augsburg
2,"Sonntag, 17.09.23",14.00 Uhr,Bremerhaven vs. Grizzlys
3,"Freitag, 22.09.23",19.30 Uhr,Grizzlys vs. Straubing
4,"Sonntag, 24.09.23",19.00 Uhr,Schwenningen vs. Grizzlys
5,"Freitag, 29.09.23",19.30 Uhr,Ingolstadt vs. Grizzlys
6,"Sonntag, 01.10.23",16.30 Uhr,Grizzlys vs. Iserlohn
7,"Dienstag, 03.10.23",14.00 Uhr,Düsseldorf vs. Grizzlys
8,"Freitag, 06.10.23",19.30 Uhr,Grizzlys vs. Mannheim
9,"Sonntag, 08.10.23",14.00 Uhr,Grizzlys vs. Berlin
10,"Freitag, 13.10.23",19.30 Uhr,München vs. Grizzlys
11,"Sonntag, 15.10.23",16.30 Uhr,Grizzlys vs. Frankfurt
12,"Freitag, 20.10.23",19.30 Uhr,Grizzlys vs. Köln
13,"Sonntag, 22.10.23",14.00 Uhr,Nürnberg vs. Grizzlys
14,"Freitag, 27.10.23",19.30 Uhr,Düsseldorf vs. Grizzlys
15,"Sonntag, 29.10.23",19.00 Uhr,Grizzlys vs. Iserlohn
16,"Mittwoch, 01.11.23",18.00 Uhr,Ingolstadt vs. Grizzlys
17,"Freitag, 03.11.23",19.30 Uhr,Nürnberg vs. Grizzlys
18,"Sonntag, 05.11.23",14.00 Uhr,Grizzlys vs. Frankfurt
19,"Donnerstag, 16.11.23",18.00 Uhr,Grizzlys vs. Schwenningen
20,"Samstag, 18.11.23",20.00 Uhr,Berlin vs. Grizzlys
21,"Freitag, 24.11.23",19.30 Uhr,Mannheim vs. Grizzlys
22,"Dienstag, 28.11.23",19.30 Uhr,Köln vs. Grizzlys
23,"Freitag, 01.12.23",19.30 Uhr,Grizzlys vs. Augsburg
24,"Sonntag, 03.12.23",19.00 Uhr,Straubing vs. Grizzlys
25,"Freitag, 08.12.23",19.30 Uhr,"München vs. Grizzlys
SPIELTAG DATUM UHRZEIT SPIELPAARUNG"
26,"Sonntag, 10.12.23",14.00 Uhr,Grizzlys vs. Bremerhaven
27,"Freitag, 15.12.23",19.30 Uhr,Grizzlys vs. Nürnberg
28,"Sonntag, 17.12.23",19.00 Uhr,Grizzlys vs. Ingolstadt
29,"Donnerstag, 21.12.23",19.30 Uhr,Köln vs. Grizzlys
30,"Samstag, 23.12.23",16.30 Uhr,Grizzlys vs. Mannheim
31,"Dienstag, 26.12.23",14.00 Uhr,Berlin vs. Grizzlys
32,"Donnerstag, 28.12.23",19.30 Uhr,Grizzlys vs. München
33,"Samstag, 30.12.23",14.00 Uhr,Bremerhaven vs. Grizzlys
34,"Mittwoch, 03.01.24",19.30 Uhr,Frankfurt vs. Grizzlys
35,"Freitag, 05.01.24",19.30 Uhr,Iserlohn vs. Grizzlys
36,"Sonntag, 07.01.24",14.00 Uhr,Grizzlys vs. Düsseldorf
37,"Freitag, 12.01.24",19.30 Uhr,Augsburg vs. Grizzlys
38,"Sonntag, 14.01.24",19.00 Uhr,Grizzlys vs. Straubing
39,"Freitag, 19.01.24",19.30 Uhr,Grizzlys vs. Schwenningen
40,"Sonntag, 21.01.24",19.00 Uhr,Iserlohn vs. Grizzlys
41,"Freitag, 26.01.24",19.30 Uhr,Grizzlys vs. Berlin
42,"Sonntag, 28.01.24",14.00 Uhr,Frankfurt vs. Grizzlys
43,"Freitag, 02.02.24",19.30 Uhr,Grizzlys vs. Ingolstadt
44,"Sonntag, 04.02.24",16.30 Uhr,Grizzlys vs. München
46,"Donnerstag, 15.02.24",19.30 Uhr,Mannheim vs. Grizzlys
47,"Sonntag, 18.02.24",14.00 Uhr,Grizzlys vs. Bremerhaven
45,"Dienstag, 20.02.24",19.30 Uhr,Grizzlys vs. Düsseldorf
48,"Freitag, 23.02.24",19.30 Uhr,Schwenningen vs. Grizzlys
49,"Sonntag, 25.02.24",16.30 Uhr,Augsburg vs. Grizzlys
50,"Freitag, 01.03.24",19.30 Uhr,Grizzlys vs. Köln
51,"Sonntag, 03.03.24",14.00 Uhr,Grizzlys vs. Nürnberg
52,"Freitag, 08.03.24",19.30 Uhr,Straubing vs. Grizzlys
