Tag,Anzahl Tickets,Gesamteinnahmen brutto,Season
22.09.2024,1944,32649.50,24-25
27.09.2024,1439,26565.50,24-25
04.10.2024,1466,28998.50,24-25
13.10.2024,1683,37615.00,24-25
20.10.2024,2712,66873.50,24-25
25.10.2024,1256,27717.50,24-25
31.10.2024,1926,42202.36,24-25
17.11.2024,2151,33153.00,24-25
21.11.2024,901,20183.50,24-25
27.11.2024,1305,17397.50,24-25
29.11.2024,1618,37069.50,24-25
06.12.2024,1339,29647.50,24-25
13.12.2024,1252,26348.46,24-25
18.12.2024,1006,22019.10,24-25
22.12.2024,2265,54654.50,24-25
26.12.2024,2840,77620.50,24-25
01.01.2025,0,,24-25
05.01.2025,1887,39436.50,24-25
12.01.2025,2474,57268.00,24-25
19.01.2025,1840,35346.00,24-25
26.01.2025,1498,33051.00,24-25
28.01.2025,1130,20074.00,24-25
02.02.2025,1866,38703.10,24-25
16.02.2025,2432,62354.00,24-25
21.02.2025,1820,40532.00,24-25
28.02.2025,2343,56414.60,24-25
04.03.2025,1349,26046.00,24-25
