spieltag,date,weekday,time,home_team,away_team,distance,season
2,14.09.2025,Sunday,16:30,Grizzlys Wolfsburg,Nürnberg Ice Tigers,463,25-26
5,26.09.2025,Friday,19:30,Grizzlys Wolfsburg,Schwenninger Wild Wings,638,25-26
8,05.10.2025,Sunday,14:00,Grizzlys Wolfsburg,Pinguins Bremerhaven,252,25-26
10,12.10.2025,Sunday,16:30,Grizzlys Wolfsburg,Straubing Tigers,560,25-26
12,19.10.2025,Sunday,14:00,Grizzlys Wolfsburg,Adler Mannheim,442,25-26
13,24.10.2025,Friday,19:30,Grizzlys Wolfsburg,Iserlohn Roosters,304,25-26
15,28.10.2025,Tuesday,19:30,Grizzlys Wolfsburg,EHC Red Bull München,600,25-26
16,30.10.2025,Thursday,19:30,Grizzlys Wolfsburg,Augsburger Panther,588,25-26
18,14.11.2025,Friday,19:30,Grizzlys Wolfsburg,Kölner Haie,376,25-26
20,21.11.2025,Friday,19:30,Grizzlys Wolfsburg,ERC Ingolstadt,526,25-26
23,28.11.2025,Friday,19:30,Grizzlys Wolfsburg,Eisbären Berlin,228,25-26
25,05.12.2025,Friday,19:30,Grizzlys Wolfsburg,Löwen Frankfurt,369,25-26
27,12.12.2025,Friday,19:30,Grizzlys Wolfsburg,Pinguins Bremerhaven,252,25-26
30,21.12.2025,Sunday,14:00,Grizzlys Wolfsburg,Adler Mannheim,442,25-26
31,23.12.2025,Tuesday,19:30,Grizzlys Wolfsburg,Iserlohn Roosters,304,25-26
34,30.12.2025,Tuesday,19:30,Grizzlys Wolfsburg,Straubing Tigers,560,25-26
35,02.01.2026,Friday,19:30,Grizzlys Wolfsburg,EHC Red Bull München,600,25-26
38,09.01.2026,Friday,19:30,Grizzlys Wolfsburg,Augsburger Panther,588,25-26
39,11.01.2026,Sunday,14:00,Grizzlys Wolfsburg,Löwen Frankfurt,369,25-26
41,18.01.2026,Sunday,14:00,Grizzlys Wolfsburg,Eisbären Berlin,228,25-26
45,25.02.2026,Wednesday,19:30,Grizzlys Wolfsburg,Schwenninger Wild Wings,638,25-26
48,04.03.2026,Wednesday,19:30,Grizzlys Wolfsburg,ERC Ingolstadt,526,25-26
50,08.03.2026,Sunday,16:30,Grizzlys Wolfsburg,Nürnberg Ice Tigers,463,25-26
51,13.03.2026,Friday,19:30,Grizzlys Wolfsburg,Kölner Haie,376,25-26
