spieltag,date,weekday,time,home_team,away_team,distance,season,datetime,ticket_count,gross_revenue,season_tickets_sold,season_tickets_revenue,total_season_tickets,total_season_revenue
1,2022-09-16,Friday,19.30,Grizzlys Wolfsburg,Löwen Frankfurt,369.0,22-23,2022-09-16 19:30:00,1509.0,24121.0,978,328504.0,71796,1640176.9
4,2022-09-25,Sunday,16.30,Grizzlys Wolfsburg,Nürnberg Ice Tigers,463.0,22-23,2022-09-25 16:30:00,1473.0,15696.0,978,328504.0,71796,1640176.9
5,2022-09-27,Tuesday,19.30,Grizzlys Wolfsburg,Augsburger Panther,588.0,22-23,2022-09-27 19:30:00,987.0,7880.0,978,328504.0,71796,1640176.9
9,2022-10-09,Sunday,14.00,Grizzlys Wolfsburg,EHC Red Bull München,600.0,22-23,2022-10-09 14:00:00,1336.0,20676.0,978,328504.0,71796,1640176.9
11,2022-10-16,Sunday,19.00,Grizzlys Wolfsburg,Schwenninger Wild Wings,638.0,22-23,2022-10-16 19:00:00,1146.0,11196.0,978,328504.0,71796,1640176.9
12,2022-10-18,Wednesday,19.30,Grizzlys Wolfsburg,Nürnberg Ice Tigers,463.0,22-23,2022-10-18 19:30:00,252.0,3813.0,978,328504.0,71796,1640176.9
14,2022-10-23,Sunday,14.00,Grizzlys Wolfsburg,Pinguins Bremerhaven,252.0,22-23,2022-10-23 14:00:00,1253.0,22158.0,978,328504.0,71796,1640176.9
17,2022-10-30,Sunday,16.30,Grizzlys Wolfsburg,SC Bietigheim Steelers,,22-23,2022-10-30 16:30:00,1707.0,22918.0,978,328504.0,71796,1640176.9
19,2022-11-04,Friday,19.30,Grizzlys Wolfsburg,Löwen Frankfurt,369.0,22-23,2022-11-04 19:30:00,1124.0,21524.5,978,328504.0,71796,1640176.9
21,2022-11-18,Friday,19.30,Grizzlys Wolfsburg,Eisbären Berlin,228.0,22-23,2022-11-18 19:30:00,1027.0,20012.0,978,328504.0,71796,1640176.9
23,2022-11-25,Friday,19.30,Grizzlys Wolfsburg,Iserlohn Roosters,304.0,22-23,2022-11-25 19:30:00,1125.0,19712.5,978,328504.0,71796,1640176.9
26,2022-12-02,Friday,19.30,Grizzlys Wolfsburg,SC Bietigheim Steelers,,22-23,2022-12-02 19:30:00,1078.0,17960.0,978,328504.0,71796,1640176.9
28,2022-12-08,Thursday,19.30,Grizzlys Wolfsburg,EHC Red Bull München,600.0,22-23,2022-12-08 19:30:00,920.0,21239.8,978,328504.0,71796,1640176.9
30,2022-12-13,Tuesday,19.30,Grizzlys Wolfsburg,Schwenninger Wild Wings,638.0,22-23,2022-12-13 19:30:00,540.0,14206.2,978,328504.0,71796,1640176.9
32,2022-12-18,Sunday,16.30,Grizzlys Wolfsburg,Adler Mannheim,442.0,22-23,2022-12-18 16:30:00,1462.0,27484.0,978,328504.0,71796,1640176.9
33,2022-12-21,Wednesday,19.30,Grizzlys Wolfsburg,Eisbären Berlin,228.0,22-23,2022-12-21 19:30:00,2188.0,41957.9,978,328504.0,71796,1640176.9
35,2022-12-26,Monday,16.30,Grizzlys Wolfsburg,Kölner Haie,376.0,22-23,2022-12-26 16:30:00,2263.0,45987.0,978,328504.0,71796,1640176.9
36,2022-12-28,Wednesday,19.30,Grizzlys Wolfsburg,ERC Ingolstadt,526.0,22-23,2022-12-28 19:30:00,2597.0,50441.0,978,328504.0,71796,1640176.9
38,2023-01-02,Monday,19.30,Grizzlys Wolfsburg,Augsburger Panther,588.0,22-23,2023-01-02 19:30:00,1170.0,20574.0,978,328504.0,71796,1640176.9
41,2023-01-08,Sunday,14.00,Grizzlys Wolfsburg,Iserlohn Roosters,304.0,22-23,2023-01-08 14:00:00,1951.0,32695.5,978,328504.0,71796,1640176.9
