spieltag,date,weekday,time,home_team,away_team,distance,season
1,2022-09-16,Friday,19.30,Grizzlys Wolfsburg,Löwen Frankfurt,,22-23
4,2022-09-25,Sunday,16.30,Grizzlys Wolfsburg,Nürnberg Ice Tigers,,22-23
5,2022-09-27,Tuesday,19.30,Grizzlys Wolfsburg,Augsburger Panther,,22-23
9, 2022-10-09,Sunday,14.00,Grizzlys Wolfsburg,EHC Red Bull München,,22-23
11,2022-10-16,Sunday,19.00,Grizzlys Wolfsburg,Schwenninger Wild Wings,,22-23
12,2022-10-18,Wednesday,19.30,Grizzlys Wolfsburg,Nürnberg Ice Tigers,,22-23
14,2022-10-23,Sunday,14.00,Grizzlys Wolfsburg,Pinguins Bremerhaven,,22-23
17,2022-10-30,Sunday,16.30,Grizzlys Wolfsburg,SC Bietigheim Steelers,,22-23
19,2022-11-04,Friday,19.30,Grizzlys Wolfsburg,Löwen Frankfurt,,22-23
21,2022-11-18,Friday,19.30,Grizzlys Wolfsburg,Eisbären Berlin,,22-23
23,2022-11-25,Friday,19.30,Grizzlys Wolfsburg,Iserlohn Roosters,,22-23
26,2022-12-02,Friday,19.30,Grizzlys Wolfsburg,SC Bietigheim Steelers,,22-23
28,2022-12-08,Thursday,19.30,Grizzlys Wolfsburg,EHC Red Bull München,,22-23
30,2022-12-13,Tuesday,19.30,Grizzlys Wolfsburg,Schwenninger Wild Wings,,22-23
32,2022-12-18,Sunday,16.30,Grizzlys Wolfsburg,Adler Mannheim,,22-23
33,2022-12-21,Wednesday,19.30,Grizzlys Wolfsburg,Eisbären Berlin,,22-23
35,2022-12-26,Monday,16.30,Grizzlys Wolfsburg,Kölner Haie,,22-23
36,2022-12-28,Wednesday,19.30,Grizzlys Wolfsburg,ERC Ingolstadt,,22-23
38,2023-01-02,Monday,19.30,Grizzlys Wolfsburg,Augsburger Panther,,22-23
41,2023-01-08,Sunday,14.00,Grizzlys Wolfsburg,Iserlohn Roosters,,22-23
44,2023-01-20,Friday,19.30,Grizzlys Wolfsburg,Straubing Tigers,,22-23
47,2023-01-27,Friday,19.30,Grizzlys Wolfsburg,ERC Ingolstadt,,22-23
49,2023-02-03,Friday,19.30,Grizzlys Wolfsburg,Kölner Haie,,22-23
52,2023-02-15,Wednesday,19.30,Grizzlys Wolfsburg,Düsseldorfer EG,,22-23
54,2023-02-19,Sunday,16.30,Grizzlys Wolfsburg,Eisbären Berlin,,22-23
57,2023-02-26,Sunday,16.30,Grizzlys Wolfsburg,Adler Mannheim,,22-23
59,2023-03-03,Friday,19.30,Grizzlys Wolfsburg,Düsseldorfer EG,,22-23
1,2023-09-15,Friday,19.3,Grizzlys Wolfsburg,Augsburger Panther,,23-24
3,2023-09-22,Friday,19.3,Grizzlys Wolfsburg,Straubing Tigers,,23-24
6,2023-10-01,Sunday,16.3,Grizzlys Wolfsburg,Iserlohn Roosters,,23-24
8,2023-10-06,Friday,19.3,Grizzlys Wolfsburg,Adler Mannheim,,23-24
9,2023-10-08,Sunday,14.0,Grizzlys Wolfsburg,Eisbären Berlin,,23-24
11,2023-10-15,Sunday,16.3,Grizzlys Wolfsburg,Löwen Frankfurt,,23-24
12,2023-10-20,Friday,19.3,Grizzlys Wolfsburg,Kölner Haie,,23-24
15,2023-10-29,Sunday,19.0,Grizzlys Wolfsburg,Iserlohn Roosters,,23-24
18,2023-11-05,Sunday,14.0,Grizzlys Wolfsburg,Löwen Frankfurt,,23-24
19,2023-11-16,Thursday,18.0,Grizzlys Wolfsburg,Schwenningen,,23-24
23,2023-12-01,Friday,19.3,Grizzlys Wolfsburg,Augsburger Panther,,23-24
26,2023-12-10,Sunday,14.0,Grizzlys Wolfsburg,Pinguins Bremerhaven,,23-24
27,2023-12-15,Friday,19.3,Grizzlys Wolfsburg,Nürnberg Ice Tigers,,23-24
28,2023-12-17,Sunday,19.0,Grizzlys Wolfsburg,ERC Ingolstadt,,23-24
30,2023-12-23,Saturday,16.3,Grizzlys Wolfsburg,Adler Mannheim,,23-24
32,2023-12-28,Thursday,19.3,Grizzlys Wolfsburg,EHC Red Bull München,,23-24
36,2024-01-07,Sunday,14.0,Grizzlys Wolfsburg,Düsseldorfer EG,,23-24
38,2024-01-14,Sunday,19.0,Grizzlys Wolfsburg,Straubing Tigers,,23-24
39,2024-01-19,Friday,19.3,Grizzlys Wolfsburg,Schwenningen,,23-24
41,2024-01-26,Friday,19.3,Grizzlys Wolfsburg,Eisbären Berlin,,23-24
43,2024-02-02,Friday,19.3,Grizzlys Wolfsburg,ERC Ingolstadt,,23-24
44,2024-02-04,Sunday,16.3,Grizzlys Wolfsburg,EHC Red Bull München,,23-24
47,2024-02-18,Sunday,14.0,Grizzlys Wolfsburg,Pinguins Bremerhaven,,23-24
45,2024-02-20,Tuesday,19.3,Grizzlys Wolfsburg,Düsseldorfer EG,,23-24
50,2024-03-01,Friday,19.3,Grizzlys Wolfsburg,Kölner Haie,,23-24
51,2024-03-03,Sunday,14.0,Grizzlys Wolfsburg,Nürnberg Ice Tigers,,23-24
2,2024-09-22,Sunday,16.30,Grizzlys Wolfsburg,Düsseldorfer EG,367 km,24-25
3,2024-09-27,Friday,19.30,Grizzlys Wolfsburg,Iserlohn Roosters,304 km,24-25
6,2024-10-04,Friday,19.30,Grizzlys Wolfsburg,Schwenninger Wild Wings,638 km,24-25
9,2024-10-13,Sunday,16.30,Grizzlys Wolfsburg,Adler Mannheim,442 km,24-25
11,2024-10-20,Sunday,14.00,Grizzlys Wolfsburg,Eisbären Berlin,228 km (D),24-25
14,2024-10-31,Thursday,14.00,Grizzlys Wolfsburg,Adler Mannheim,442 km,24-25
17,2024-11-17,Sunday,14.00,Grizzlys Wolfsburg,Schwenninger Wild Wings,638 km,24-25
18,2024-11-21,Thursday,19.30,Grizzlys Wolfsburg,Augsburger Panther,588 km,24-25
20,2024-11-27,Wednesday,18.00,Grizzlys Wolfsburg,Düsseldorfer EG,367 km,24-25
21,2024-11-29,Friday,19.30,Grizzlys Wolfsburg,Kölner Haie,376 km,24-25
23,2024-12-06,Friday,13.00,Grizzlys Wolfsburg,EHC Red Bull München,600 km,24-25
25,2024-12-13,Friday,19.30,Grizzlys Wolfsburg,Nürnberg Ice Tigers,463 km,24-25
27,2024-12-18,Wednesday,19.30,Grizzlys Wolfsburg,ERC Ingolstadt,526 km,24-25
29,2024-12-22,Sunday,14.00,Grizzlys Wolfsburg,Löwen Frankfurt,369 km,24-25
30,2024-12-26,Thursday,16.30,Grizzlys Wolfsburg,Eisbären Berlin,228 km (D),24-25
34,2025-01-05,Sunday,16.30,Grizzlys Wolfsburg,Straubing Tigers,560 km,24-25
36,2025-01-12,Sunday,14.00,Grizzlys Wolfsburg,Pinguins Bremerhaven,252 km (D),24-25
38,2025-01-19,Sunday,16.30,Grizzlys Wolfsburg,Augsburger Panther,588 km,24-25
40,2025-01-26,Sunday,19.00,Grizzlys Wolfsburg,EHC Red Bull München,600 km,24-25
