date,ticket_count,gross_revenue,season
2022-05-31,0,,22-23
2022-09-02,1417,19466.0,22-23
2022-09-04,1059,14053.0,22-23
2022-09-16,1509,24121.0,22-23
2022-09-25,1473,15696.0,22-23
2022-09-27,987,7880.0,22-23
2022-10-09,1336,20676.0,22-23
2022-10-12,892,11520.0,22-23
2022-10-16,1146,11196.0,22-23
2022-10-18,252,3813.0,22-23
2022-10-23,1253,22158.0,22-23
2022-10-30,1707,22918.0,22-23
2022-11-04,1124,21524.5,22-23
2022-11-15,1066,20064.0,22-23
2022-11-18,1027,20012.0,22-23
2022-11-25,1125,19712.5,22-23
2022-12-02,1078,17960.0,22-23
2022-12-08,920,21239.8,22-23
2022-12-13,540,14206.2,22-23
2022-12-18,1462,27484.0,22-23
2022-12-21,2188,41957.9,22-23
2022-12-26,2263,45987.0,22-23
2022-12-28,2597,50441.0,22-23
2023-01-02,1170,20574.0,22-23
2023-01-08,1951,32695.5,22-23
2023-01-15,2660,45392.5,22-23
2023-01-20,1165,22199.0,22-23
2023-01-27,1571,29069.5,22-23
2023-02-03,2068,39064.0,22-23
2023-02-15,1980,16222.0,22-23
2023-02-19,3492,65254.0,22-23
2023-02-26,2367,41539.0,22-23
2023-03-03,2537,43029.5,22-23
2023-03-17,3910,82039.5,22-23
2023-03-22,3287,71489.0,22-23
2023-03-26,2980,62429.0,22-23
2023-04-02,3480,84201.0,22-23
2023-04-06,4312,101214.0,22-23
2023-04-10,3467,81175.5,22-23
2023-04-16,0,,22-23
2023-04-21,0,,22-23
2023-09-15,1624,31208.5,23-24
2023-09-22,1127,21390.0,23-24
2023-10-01,1906,35212.5,23-24
2023-10-06,1429,30103.5,23-24
2023-10-08,2412,57645.59,23-24
2023-10-15,1202,22888.0,23-24
2023-10-20,1677,37088.0,23-24
2023-10-29,1910,28302.5,23-24
2023-11-05,1642,28977.5,23-24
2023-11-16,1161,23914.0,23-24
2023-12-01,1547,30982.5,23-24
2023-12-10,2324,54003.76,23-24
2023-12-15,1297,29694.5,23-24
2023-12-17,1233,25545.76,23-24
2023-12-23,2524,57317.0,23-24
2023-12-28,2790,63248.09,23-24
2024-01-07,2375,41548.5,23-24
2024-01-14,1117,25706.5,23-24
2024-01-19,1397,25344.5,23-24
2024-01-26,2432,61437.0,23-24
2024-02-02,1455,30981.5,23-24
2024-02-04,1825,39458.76,23-24
2024-02-18,2755,61270.0,23-24
2024-02-21,1849,32187.5,23-24
2024-03-01,2600,56451.02,23-24
2024-03-03,2183,46467.76,23-24
2024-03-16,3348,84209.57,23-24
2024-03-22,3591,89120.51,23-24
2024-09-22,1944,32649.5,24-25
2024-09-27,1439,26565.5,24-25
2024-10-04,1466,28998.5,24-25
2024-10-13,1683,37615.0,24-25
2024-10-20,2712,66873.5,24-25
2024-10-25,1256,27717.5,24-25
2024-10-31,1926,42202.36,24-25
2024-11-17,2151,33153.0,24-25
2024-11-21,901,20183.5,24-25
2024-11-27,1305,17397.5,24-25
2024-11-29,1618,37069.5,24-25
2024-12-06,1339,29647.5,24-25
2024-12-13,1252,26348.46,24-25
2024-12-18,1006,22019.1,24-25
2024-12-22,2265,54654.5,24-25
2024-12-26,2840,77620.5,24-25
2025-01-01,0,,24-25
2025-01-05,1887,39436.5,24-25
2025-01-12,2474,57268.0,24-25
2025-01-19,1840,35346.0,24-25
2025-01-26,1498,33051.0,24-25
2025-01-28,1130,20074.0,24-25
2025-02-02,1866,38703.1,24-25
2025-02-16,2432,62354.0,24-25
2025-02-21,1820,40532.0,24-25
2025-02-28,2343,56414.6,24-25
2025-03-04,1349,26046.0,24-25
