spieltag,date,weekday,time,home_team,away_team,distance,season,datetime
1,2022-09-16,Friday,19.30,Grizzlys Wolfsburg,Löwen Frankfurt,369.0,22-23,2022-09-16 19:30:00
4,2022-09-25,Sunday,16.30,Grizzlys Wolfsburg,Nürnberg Ice Tigers,463.0,22-23,2022-09-25 16:30:00
5,2022-09-27,Tuesday,19.30,Grizzlys Wolfsburg,Augsburger Panther,588.0,22-23,2022-09-27 19:30:00
9, 2022-10-09,Sunday,14.00,Grizzlys Wolfsburg,EHC Red Bull München,600.0,22-23,2022-10-09 14:00:00
11,2022-10-16,Sunday,19.00,Grizzlys Wolfsburg,Schwenninger Wild Wings,638.0,22-23,2022-10-16 19:00:00
12,2022-10-18,Wednesday,19.30,Grizzlys Wolfsburg,Nürnberg Ice Tigers,463.0,22-23,2022-10-18 19:30:00
14,2022-10-23,Sunday,14.00,Grizzlys Wolfsburg,Pinguins Bremerhaven,252.0,22-23,2022-10-23 14:00:00
17,2022-10-30,Sunday,16.30,Grizzlys Wolfsburg,SC Bietigheim Steelers,,22-23,2022-10-30 16:30:00
19,2022-11-04,Friday,19.30,Grizzlys Wolfsburg,Löwen Frankfurt,369.0,22-23,2022-11-04 19:30:00
21,2022-11-18,Friday,19.30,Grizzlys Wolfsburg,Eisbären Berlin,228.0,22-23,2022-11-18 19:30:00
23,2022-11-25,Friday,19.30,Grizzlys Wolfsburg,Iserlohn Roosters,304.0,22-23,2022-11-25 19:30:00
26,2022-12-02,Friday,19.30,Grizzlys Wolfsburg,SC Bietigheim Steelers,,22-23,2022-12-02 19:30:00
28,2022-12-08,Thursday,19.30,Grizzlys Wolfsburg,EHC Red Bull München,600.0,22-23,2022-12-08 19:30:00
30,2022-12-13,Tuesday,19.30,Grizzlys Wolfsburg,Schwenninger Wild Wings,638.0,22-23,2022-12-13 19:30:00
32,2022-12-18,Sunday,16.30,Grizzlys Wolfsburg,Adler Mannheim,442.0,22-23,2022-12-18 16:30:00
33,2022-12-21,Wednesday,19.30,Grizzlys Wolfsburg,Eisbären Berlin,228.0,22-23,2022-12-21 19:30:00
35,2022-12-26,Monday,16.30,Grizzlys Wolfsburg,Kölner Haie,376.0,22-23,2022-12-26 16:30:00
36,2022-12-28,Wednesday,19.30,Grizzlys Wolfsburg,ERC Ingolstadt,526.0,22-23,2022-12-28 19:30:00
38,2023-01-02,Monday,19.30,Grizzlys Wolfsburg,Augsburger Panther,588.0,22-23,2023-01-02 19:30:00
41,2023-01-08,Sunday,14.00,Grizzlys Wolfsburg,Iserlohn Roosters,304.0,22-23,2023-01-08 14:00:00
44,2023-01-20,Friday,19.30,Grizzlys Wolfsburg,Straubing Tigers,560.0,22-23,2023-01-20 19:30:00
47,2023-01-27,Friday,19.30,Grizzlys Wolfsburg,ERC Ingolstadt,526.0,22-23,2023-01-27 19:30:00
49,2023-02-03,Friday,19.30,Grizzlys Wolfsburg,Kölner Haie,376.0,22-23,2023-02-03 19:30:00
52,2023-02-15,Wednesday,19.30,Grizzlys Wolfsburg,Düsseldorfer EG,367.0,22-23,2023-02-15 19:30:00
54,2023-02-19,Sunday,16.30,Grizzlys Wolfsburg,Eisbären Berlin,228.0,22-23,2023-02-19 16:30:00
57,2023-02-26,Sunday,16.30,Grizzlys Wolfsburg,Adler Mannheim,442.0,22-23,2023-02-26 16:30:00
59,2023-03-03,Friday,19.30,Grizzlys Wolfsburg,Düsseldorfer EG,367.0,22-23,2023-03-03 19:30:00
1,2023-09-15,Friday,19.3,Grizzlys Wolfsburg,Augsburger Panther,588.0,23-24,2023-09-15 19:03:00
3,2023-09-22,Friday,19.3,Grizzlys Wolfsburg,Straubing Tigers,560.0,23-24,2023-09-22 19:03:00
6,2023-10-01,Sunday,16.3,Grizzlys Wolfsburg,Iserlohn Roosters,304.0,23-24,2023-10-01 16:03:00
8,2023-10-06,Friday,19.3,Grizzlys Wolfsburg,Adler Mannheim,442.0,23-24,2023-10-06 19:03:00
9,2023-10-08,Sunday,14.0,Grizzlys Wolfsburg,Eisbären Berlin,228.0,23-24,2023-10-08 14:00:00
11,2023-10-15,Sunday,16.3,Grizzlys Wolfsburg,Löwen Frankfurt,369.0,23-24,2023-10-15 16:03:00
12,2023-10-20,Friday,19.3,Grizzlys Wolfsburg,Kölner Haie,376.0,23-24,2023-10-20 19:03:00
15,2023-10-29,Sunday,19.0,Grizzlys Wolfsburg,Iserlohn Roosters,304.0,23-24,2023-10-29 19:00:00
