Match_ID,Day,Date,Time,Home_Team,Away_Team,temp_c_avg,precip_mm_max,snow_cm_max,wind_kmh_max,weather_code_primary
1,Fri,2022-09-16,19:30,Grizzlys Wolfsburg,Löwen Frankfurt,13.660501,0.2,0.0,26.042212,3.0
2,Wed,2022-09-21,19:30,Kölner Haie,Grizzlys Wolfsburg,13.060501,0.0,0.0,5.0911684,2.0
3,Fri,2022-09-23,19:30,Eisbären Berlin,Grizzlys Wolfsburg,14.7855,0.0,0.0,6.87779,3.0
4,Sun,2022-09-25,16:30,Grizzlys Wolfsburg,Nürnberg Ice Tigers,14.8855,0.1,0.0,11.269782,51.0
5,Tue,2022-09-27,19:30,Grizzlys Wolfsburg,Augsburger Panther,8.910501,2.8,0.0,11.720751,63.0
6,Sun,2022-10-02,14:00,Grizzlys Wolfsburg,EHC Red Bull München,15.1855,0.2,0.0,23.770906,51.0
7,Fri,2022-10-07,19:30,Iserlohn Roosters,Grizzlys Wolfsburg,12.335501,0.0,0.0,9.605998,0.0
8,Sun,2022-10-09,14:00,Pinguins Bremerhaven,Grizzlys Wolfsburg,14.835501,0.0,0.0,7.968939,1.0
9,Fri,2022-10-14,19:30,Straubing Tigers,Grizzlys Wolfsburg,14.2855,0.1,0.0,9.504273,3.0
10,Sun,2022-10-16,19:00,Schwenninger Wild Wings,Grizzlys Wolfsburg,15.185499,0.0,0.0,6.28713,0.0
11,Thu,2022-10-20,19:30,Augsburger Panther,Grizzlys Wolfsburg,11.585501,0.0,0.0,15.7908325,3.0
12,Sun,2022-10-23,14:00,Grizzlys Wolfsburg,Pinguins Bremerhaven,18.6605,0.0,0.0,10.009036,3.0
13,Wed,2022-10-26,19:30,Kölner Haie,Grizzlys Wolfsburg,14.560501,0.0,0.0,9.693296,3.0
14,Fri,2022-10-28,19:30,Iserlohn Roosters,Grizzlys Wolfsburg,19.7105,0.0,0.0,16.548256,3.0
15,Sun,2022-10-30,16:30,Grizzlys Wolfsburg,SC Bietigheim Steelers,19.9855,0.0,0.0,3.671294,0.0
16,Wed,2022-11-02,19:30,Düsseldorfer EG,Grizzlys Wolfsburg,9.5105,0.0,0.0,11.183201,0.0
17,Fri,2022-11-04,19:30,Löwen Frankfurt,Grizzlys Wolfsburg,9.3605,0.3,0.0,9.028754,3.0
18,Sun,2022-11-06,14:00,Pinguins Bremerhaven,Grizzlys Wolfsburg,12.4355,0.0,0.0,15.141414,0.0
19,Fri,2022-11-18,19:30,Grizzlys Wolfsburg,Straubing Tigers,-0.8895,0.0,0.0,17.015474,3.0
20,Sun,2022-11-20,14:00,Nürnberg Ice Tigers,Grizzlys Wolfsburg,1.0354999,0.3,0.21000001,13.324863,3.0
21,Wed,2022-11-23,19:30,Grizzlys Wolfsburg,Nürnberg Ice Tigers,4.6105,0.0,0.0,12.55879,0.0
22,Fri,2022-11-25,19:30,Grizzlys Wolfsburg,Iserlohn Roosters,6.6105,0.0,0.0,10.703569,1.0
23,Sun,2022-11-27,16:30,Grizzlys Wolfsburg,Adler Mannheim,6.3855,0.0,0.0,12.88981,3.0
24,Tue,2022-11-29,19:30,Grizzlys Wolfsburg,ERC Ingolstadt,4.0855,0.0,0.0,7.208994,3.0
25,Fri,2022-12-02,19:30,SC Bietigheim Steelers,Grizzlys Wolfsburg,0.76049995,0.1,0.07,14.84318,71.0
26,Sun,2022-12-04,14:00,Straubing Tigers,Grizzlys Wolfsburg,1.4605,0.0,0.0,14.168641,3.0
27,Thu,2022-12-08,19:30,EHC Red Bull München,Grizzlys Wolfsburg,-0.0645,0.0,0.0,7.42159,3.0
28,Sun,2022-12-11,14:00,Grizzlys Wolfsburg,Nürnberg Ice Tigers,-1.5895,0.0,0.0,4.198285,3.0
29,Tue,2022-12-13,19:30,Grizzlys Wolfsburg,Schwenninger Wild Wings,-4.8145003,0.0,0.0,8.891344,0.0
30,Thu,2022-12-15,19:30,Grizzlys Wolfsburg,Löwen Frankfurt,-3.5394998,0.0,0.0,9.565437,0.0
31,Sun,2022-12-18,16:30,Adler Mannheim,Grizzlys Wolfsburg,-3.3895,0.0,0.0,18.584509,3.0
32,Wed,2022-12-21,19:30,Eisbären Berlin,Grizzlys Wolfsburg,5.9855,0.0,0.0,12.768586,3.0
33,Fri,2022-12-23,19:30,Grizzlys Wolfsburg,Düsseldorfer EG,5.7105,2.2,0.0,13.324863,61.0
34,Mon,2022-12-26,16:30,Kölner Haie,Grizzlys Wolfsburg,8.6355,0.0,0.0,23.441502,2.0
35,Wed,2022-12-28,19:30,ERC Ingolstadt,Grizzlys Wolfsburg,7.7105,0.4,0.0,21.096123,51.0
36,Fri,2022-12-30,19:30,EHC Red Bull München,Grizzlys Wolfsburg,8.7355,0.4,0.0,25.651104,51.0
37,Mon,2023-01-02,19:30,Grizzlys Wolfsburg,Augsburger Panther,9.0605,0.2,0.0,15.281989,51.0
38,Wed,2023-01-04,19:30,Schwenninger Wild Wings,Grizzlys Wolfsburg,10.835501,0.5,0.0,30.972555,51.0
39,Sun,2023-01-08,16:30,Grizzlys Wolfsburg,Iserlohn Roosters,8.3855,0.0,0.0,11.440978,2.0
40,Fri,2023-01-13,19:30,SC Bietigheim Steelers,Grizzlys Wolfsburg,7.1604996,0.1,0.0,28.33957,51.0
41,Sun,2023-01-15,14:00,Pinguins Bremerhaven,Grizzlys Wolfsburg,7.3855,0.0,0.0,31.76375,0.0
42,Fri,2023-01-20,19:30,Straubing Tigers,Grizzlys Wolfsburg,-1.2145,0.0,0.0,8.0899935,0.0
43,Sun,2023-01-22,14:00,Grizzlys Wolfsburg,Eisbären Berlin,1.6355,0.0,0.0,13.584932,3.0
