iter	Passed	Remaining
0	51	10276
1	51	5142
2	52	3430
3	52	2570
4	53	2086
5	53	1735
6	53	1483
7	53	1295
8	54	1151
9	55	1047
10	55	951
11	55	870
12	55	801
13	56	746
14	56	695
15	56	654
16	57	615
17	57	583
18	58	553
19	58	526
20	58	500
21	58	476
22	60	467
23	61	448
24	72	507
25	72	487
26	73	469
27	73	451
28	75	443
29	75	427
30	75	413
31	78	414
32	79	400
33	79	386
34	79	374
35	79	362
36	79	351
37	79	340
38	80	330
39	80	320
40	84	325
41	84	316
42	84	308
43	84	299
44	84	291
45	84	284
46	84	276
47	85	269
48	85	262
49	85	257
50	86	251
51	86	245
52	86	239
53	86	233
54	86	228
55	86	223
56	86	218
57	87	213
58	87	208
59	87	204
60	87	199
61	87	195
62	87	191
63	88	187
64	88	183
65	88	179
66	89	176
67	89	173
68	89	169
69	89	166
70	89	162
71	89	159
72	90	156
73	90	153
74	90	150
75	90	147
76	90	144
77	91	143
78	92	141
79	92	138
80	92	135
81	92	133
82	94	133
83	95	131
84	95	128
85	95	126
86	95	124
87	95	122
88	97	121
89	97	119
90	97	117
91	97	114
92	98	112
93	98	110
94	98	108
95	98	106
96	98	105
97	99	103
98	99	101
99	99	99
100	99	97
101	100	96
102	100	94
103	100	92
104	100	91
105	100	89
106	100	87
107	101	86
108	101	84
109	101	82
110	103	82
111	103	81
112	103	79
113	103	78
114	103	76
115	103	75
116	104	73
117	104	72
118	104	71
119	104	69
120	104	68
121	104	67
122	105	65
123	105	64
124	105	63
125	105	62
126	105	60
127	107	60
128	107	59
129	107	58
130	108	56
131	108	55
132	108	54
133	108	53
134	108	52
135	109	51
136	110	50
137	110	49
138	110	48
139	110	47
140	110	46
141	111	45
142	111	44
143	111	43
144	111	42
145	111	41
146	111	40
147	112	39
148	112	38
149	112	37
150	112	36
151	112	35
152	112	34
153	112	33
154	113	32
155	113	31
156	113	31
157	113	30
158	113	29
159	114	28
160	114	27
161	114	26
162	114	25
163	114	25
164	114	24
165	114	23
166	115	22
167	115	21
168	115	21
169	115	20
170	115	19
171	115	18
172	116	18
173	116	17
174	116	16
175	116	15
176	116	15
177	116	14
178	117	13
179	117	13
180	117	12
181	117	11
182	117	10
183	117	10
184	118	9
185	118	8
186	118	8
187	118	7
188	118	6
189	118	6
190	119	5
191	119	4
192	119	4
193	119	3
194	119	3
195	120	2
196	120	1
197	121	1
198	122	0
199	122	0
